date,price
2/8/2022 18:57,42992.32
2/8/2022 18:58,42984.90
2/8/2022 18:59,43012.22
2/8/2022 19:00,42959.08
2/8/2022 19:01,42914.29
2/8/2022 19:02,42956.86
2/8/2022 19:03,42990.52
2/8/2022 19:04,43040.08
2/8/2022 19:05,43076.44
2/8/2022 19:06,43065.34
2/8/2022 19:07,43072.19
2/8/2022 19:08,43124.18
2/8/2022 19:09,43049.46
2/8/2022 19:10,43039.26
2/8/2022 19:11,43066.26
2/8/2022 19:12,43081.34
2/8/2022 19:13,43082.70
2/8/2022 19:14,43075.99
2/8/2022 19:15,43061.36
2/8/2022 19:16,43040.47
2/8/2022 19:17,43087.12
2/8/2022 19:18,43107.65
2/8/2022 19:19,43148.54
2/8/2022 19:20,43142.66
2/8/2022 19:21,43090.54
2/8/2022 19:22,42943.00
2/8/2022 19:23,42968.53
2/8/2022 19:24,42893.20
2/8/2022 19:25,42892.09
2/8/2022 19:26,42807.82
2/8/2022 19:27,42836.59
2/8/2022 19:28,42788.71
2/8/2022 19:29,42761.72
2/8/2022 19:30,42873.10
2/8/2022 19:31,42903.41
2/8/2022 19:32,42955.92
2/8/2022 19:33,42970.88
2/8/2022 19:34,42992.03
2/8/2022 19:35,43069.33
2/8/2022 19:36,43067.12
2/8/2022 19:37,43003.07
2/8/2022 19:38,42988.96
2/8/2022 19:39,42920.20
2/8/2022 19:40,42908.10
2/8/2022 19:41,42900.38
2/8/2022 19:42,42857.10
2/8/2022 19:43,42871.74
2/8/2022 19:44,42911.82
2/8/2022 19:45,42968.82
2/8/2022 19:46,42899.29
2/8/2022 19:47,42848.00
2/8/2022 19:48,42835.33
2/8/2022 19:49,42913.73
2/8/2022 19:50,42990.43
2/8/2022 19:51,42999.27
2/8/2022 19:52,43026.42
2/8/2022 19:53,42989.38
2/8/2022 19:54,43046.56
2/8/2022 19:55,43023.84
2/8/2022 19:56,43072.86
2/8/2022 19:57,43027.83
2/8/2022 19:58,43040.56
2/8/2022 19:59,43029.58
2/8/2022 20:00,42991.67
2/8/2022 20:01,43003.47
2/8/2022 20:02,43047.04
2/8/2022 20:03,43101.45
2/8/2022 20:04,43087.55
2/8/2022 20:05,43088.75
2/8/2022 20:06,43102.45
2/8/2022 20:07,43155.55
2/8/2022 20:08,43160.66
2/8/2022 20:09,43205.90
2/8/2022 20:10,43227.67
2/8/2022 20:11,43219.85
2/8/2022 20:12,43247.78
2/8/2022 20:13,43273.64
2/8/2022 20:14,43315.01
2/8/2022 20:15,43373.29
2/8/2022 20:16,43296.31
2/8/2022 20:17,43308.01
2/8/2022 20:18,43378.70
2/8/2022 20:19,43332.97
2/8/2022 20:20,43347.94
2/8/2022 20:21,43355.70
2/8/2022 20:22,43369.99
2/8/2022 20:23,43362.19
2/8/2022 20:24,43345.24
2/8/2022 20:25,43306.31
2/8/2022 20:26,43466.17
2/8/2022 20:27,43485.55
2/8/2022 20:28,43521.11
2/8/2022 20:29,43650.42
2/8/2022 20:30,43730.62
2/8/2022 20:31,43901.00
2/8/2022 20:32,43964.85
2/8/2022 20:33,44027.96
2/8/2022 20:34,43953.27
2/8/2022 20:35,43985.02
2/8/2022 20:36,43929.98
2/8/2022 20:37,43974.24
2/8/2022 20:38,44057.78
2/8/2022 20:39,44106.52
2/8/2022 20:40,44163.27
2/8/2022 20:41,44129.94
2/8/2022 20:42,44088.78
2/8/2022 20:43,44116.49
2/8/2022 20:44,44084.56
2/8/2022 20:45,44008.57
2/8/2022 20:46,44077.35
2/8/2022 20:47,44096.40
2/8/2022 20:48,44257.99
2/8/2022 20:49,44368.31
2/8/2022 20:50,44236.98
2/8/2022 20:51,44244.49
2/8/2022 20:52,44306.74
2/8/2022 20:53,44283.60
2/8/2022 20:54,44337.50
